stateId	unique.str	composition	structure	fct	n
586	lade fasy  1 0	lade fasy 	1	0	17
587	piab fasy frex  5 0	piab fasy frex 	5	0	60
588	ACPS  7 1	ACPS 	7	1	82
589	lade fasy frex  7 0	lade fasy frex 	7	0	39
590	FREX  6 0	FREX 	6	0	204
591	lade fasy frex  7 1	lade fasy frex 	7	1	171
592	lade fasy frex  8 1	lade fasy frex 	8	1	299
593	ACPS  8 1	ACPS 	8	1	26
594	FASY frex  9 1	FASY frex 	9	1	50
595	PIAB frex  6 1	PIAB frex 	6	1	57
596	ACPS alin  6 0	ACPS alin 	6	0	14
597	PISY  7 2	PISY 	7	2	191
598	lade fasy acps  8 2	lade fasy acps 	8	2	13
599	FASY lade  8 2	FASY lade 	8	2	431
600	lade  9 0	lade 	9	0	35
601	fasy frex  2 0	fasy frex 	2	0	68
602	piab lade  10 0	piab lade 	10	0	44
603	FREX piab  1 0	FREX piab 	1	0	30
604	fasy bepe  6 0	fasy bepe 	6	0	41
605	lade frex  5 0	lade frex 	5	0	85
606	piab frex  8 0	piab frex 	8	0	194
607	frex bepe  4 0	frex bepe 	4	0	23
608	LADE bepe  5 0	LADE bepe 	5	0	18
609	PIAB pisy  8 0	PIAB pisy 	8	0	25
610	PISY piab  6 2	PISY piab 	6	2	16
611	piab pisy fasy  6 2	piab pisy fasy 	6	2	16
612	piab lade pisy  7 2	piab lade pisy 	7	2	634
613	PIAB bepe  7 0	PIAB bepe 	7	0	31
614	pisy fasy  8 0	pisy fasy 	8	0	78
615	abal lade  9 1	abal lade 	9	1	19
616	LADE frex  4 0	LADE frex 	4	0	26
617	lade fasy bepe  6 0	lade fasy bepe 	6	0	20
618	piab abal  6 2	piab abal 	6	2	36
619	piab fasy bepe  8 1	piab fasy bepe 	8	1	60
620	frex bepe  3 0	frex bepe 	3	0	76
621	piab lade  3 0	piab lade 	3	0	98
622	piab bepe  2 0	piab bepe 	2	0	28
623	PIAB bepe  7 1	PIAB bepe 	7	1	45
624	piab alin  6 0	piab alin 	6	0	17
625	FASY frex  4 0	FASY frex 	4	0	36
626	fasy  4 0	fasy 	4	0	48
627	PIAB  11 0	PIAB 	11	0	85
628	FREX lade  2 0	FREX lade 	2	0	40
629	BEPE  3 0	BEPE 	3	0	167
630	piab fasy acps  6 0	piab fasy acps 	6	0	27
631	piab frex  9 1	piab frex 	9	1	630
632	piab lade  1 0	piab lade 	1	0	62
633	frex alin  4 0	frex alin 	4	0	27
634	lade frex  8 1	lade frex 	8	1	327
635	FASY piab  1 0	FASY piab 	1	0	14
636	piab bepe  6 1	piab bepe 	6	1	64
637	FREX  7 1	FREX 	7	1	175
638	PIAB frex  5 0	PIAB frex 	5	0	58
639	PIAB frex  2 0	PIAB frex 	2	0	52
640	fasy acps  8 2	fasy acps 	8	2	172
641	fasy alin  8 0	fasy alin 	8	0	20
642	lade frex  6 1	lade frex 	6	1	91
643	FASY abal  7 1	FASY abal 	7	1	192
644	piab frex  2 0	piab frex 	2	0	176
645	ACPS  5 1	ACPS 	5	1	57
646	FREX fasy  2 0	FREX fasy 	2	0	14
647	pisy  8 1	pisy 	8	1	356
648	FREX piab  2 0	FREX piab 	2	0	47
649	PIAB frex  8 0	PIAB frex 	8	0	59
650	piab bepe  8 1	piab bepe 	8	1	145
651	piab alin  8 0	piab alin 	8	0	12
652	piab  9 0	piab 	9	0	153
653	PISY piab  7 2	PISY piab 	7	2	77
654	piab lade pisy  9 2	piab lade pisy 	9	2	329
655	frex bepe  7 0	frex bepe 	7	0	17
656	piab lade pisy  10 2	piab lade pisy 	10	2	45
657	abal fasy  5 1	abal fasy 	5	1	38
658	ACPS  6 0	ACPS 	6	0	13
659	lade bepe  6 1	lade bepe 	6	1	23
660	PIAB lade  10 2	PIAB lade 	10	2	3757
661	PIAB abal  6 1	PIAB abal 	6	1	25
662	FREX piab  7 0	FREX piab 	7	0	45
663	LADE fasy  9 1	LADE fasy 	9	1	80
664	FREX bepe  2 0	FREX bepe 	2	0	28
665	mix 4 0	mix	4	0	25
666	LADE frex  5 0	LADE frex 	5	0	27
667	ALIN  4 0	ALIN 	4	0	11
668	lade frex  9 1	lade frex 	9	1	432
669	PIAB bepe  9 0	PIAB bepe 	9	0	15
670	PIAB  3 0	PIAB 	3	0	737
671	fasy bepe  7 1	fasy bepe 	7	1	43
672	lade fasy frex  9 1	lade fasy frex 	9	1	224
