id,model.climate.tableName,model.site.soilDepth,model.site.availableNitrogen
12148,108,9.93,55.8359815176989
12149,108,8.91,55.4886797156303
12150,164,8.57,55.4886797156303
12151,107,26.15,54.3762779080457
12152,107,28.26,53.0828832158492
12153,107,25.65,54.3762779080457
12154,107,17.79,56.578824507721
12155,107,19.48,55.4886797156303
12156,82,23.28,55.4886797156303
12157,82,24.97,52.622749122271
12158,108,14.76,55.4886797156303
12159,108,19.31,55.4886797156303
12160,108,20.66,50.953529650013
12161,108,21.17,52.622749122271
12162,79,18.46,55.4886797156303
12163,172,18.8,55.8359815176989
12164,95,19.14,55.8359815176989
12165,95,21.84,59.0483297579334
12166,95,20.49,52.7863620530372
12167,95,19.48,59.0483297579334
12168,95,17.47,55.8359815176989
12169,79,17.96,55.8359815176989
12170,108,19.14,55.8359815176989
12171,82,19.48,55.4886797156303
12172,82,19.65,55.4886797156303
12173,82,19.14,55.4886797156303
12174,82,20.32,55.4886797156303
12175,82,19.31,55.8359815176989
12176,108,19.82,55.8359815176989
12177,108,18.63,55.8359815176989
12178,79,18.46,55.8359815176989
12179,155,20.15,55.8359815176989
12180,155,33.81,55.0464888228834
12181,155,33.64,55.0464888228834
12182,165,14.43,54.222018683701
12183,165,34.32,55.0464888228834
12184,165,32.29,50.3700655959234
12185,148,18.13,52.7863620530372
12186,148,17.96,54.6588763556874
12187,148,18.63,54.6588763556874
12188,148,18.29,54.6588763556874
12189,155,17.79,59.0483297579334
12190,155,9.05,52.3992944029271
12191,133,19.99,55.8359815176989
12192,133,19.31,54.4646901028838
12193,133,35.84,54.4209799771911
12194,166,19.33,53.7909094147293
12195,166,16.79,50.3700655959234
12196,166,17.47,50.3700655959234
12197,166,17.13,52.6833832882168
12198,166,14.6,52.3992944029271
12199,166,14.43,52.3992944029271
12200,166,14.93,52.3992944029271
12201,166,14.93,50.3700655959234
12202,166,14.43,59.0483297579334
12203,166,14.6,55.8359815176989
12204,156,11.79,55.8359815176989
12205,156,12.12,55.4886797156303
12206,167,9.42,55.4886797156303
12207,167,10.94,55.4886797156303
12208,167,11.28,55.4886797156303
12209,167,7.93,55.4886797156303
12210,167,10.26,55.4886797156303
12211,167,13.64,55.4886797156303
12212,168,12.46,56.578824507721
12213,168,11.45,53.6104064817217
12214,157,11.11,53.6104064817217
12215,157,10.77,53.6104064817217
12216,157,10.43,53.6104064817217
12217,157,10.77,53.6104064817217
12218,157,8.91,53.6104064817217
12219,157,24.8,54.3762779080457
12220,157,17.57,56.578824507721
12221,157,10.6,53.6104064817217
12222,157,11.95,53.6104064817217
12223,158,12.29,53.6104064817217
12224,159,11.62,51.9666672597476
12225,159,12.29,51.9666672597476
12226,159,11.45,52.5489831484312
12227,159,11.95,51.9666672597476
12228,159,11.79,52.5489831484312
12229,159,6.92,54.493417002876
12230,159,11.62,52.5489831484312
12231,159,11.28,51.8264366731325
12232,159,10.77,53.8177210550257
12233,159,12.29,52.5489831484312
12234,159,12.97,54.493417002876
12235,152,13.64,53.8177210550257
12236,152,11.79,53.1046035105106
12237,141,12.29,53.0828832158492
12238,141,14.26,53.0828832158492
12239,141,16.12,53.0828832158492
12240,141,14.76,53.118412877158
12241,141,10.6,55.1160613959976
12242,141,26.49,53.2928597497787
12243,147,25.48,46.3198969012071
12244,147,25.31,46.7566306756575
12245,147,13.98,48.0889528152101
12246,101,15.17,53.5572081808838
12247,101,33.25,52.0369942800422
12248,101,32.91,49.3402030685051
12249,101,14.49,48.0889528152101
12250,101,15,53.5572081808838
12251,101,13.98,53.5572081808838
12252,101,5.4,53.5572081808838
12253,103,17.57,53.5572081808838
12254,142,13.81,55.1160613959976
12255,142,13.64,53.118412877158
12256,138,12.63,53.0828832158492
12257,138,12.97,53.0828832158492
12258,169,13.64,51.8264366731325
12259,169,24.97,53.7859951454453
12260,136,23.45,49.4267057651656
12261,136,10.6,54.493417002876
12262,135,11.95,53.6104064817217
12263,162,35,54.3762779080457
12264,135,25.14,54.3762779080457
12265,135,26.66,54.3762779080457
12266,135,26.83,54.3762779080457
12267,135,25.14,54.3762779080457
12268,169,21.34,53.6104064817217
12269,169,25.48,54.8400877542929
12270,169,20.15,53.6104064817217
12271,169,21.17,53.6104064817217
12272,138,23.96,54.8400877542929
12273,138,24.29,51.9666672597476
12274,138,23.79,51.9666672597476
12275,138,24.46,49.4267057651656
12276,138,24.63,52.5489831484312
12277,142,24.63,51.8264366731325
12278,142,24.63,51.8264366731325
12279,142,24.8,51.8264366731325
12280,144,12.97,53.118412877158
12281,144,23.28,45.3076179319551
12282,144,24.12,49.3402030685051
12283,144,12.29,45.3076179319551
12284,142,11.79,55.1160613959976
12285,142,13.64,55.1160613959976
12286,138,12.63,51.8264366731325
12287,138,12.12,51.8264366731325
12288,138,8.27,53.8177210550257
12289,169,15.84,49.4267057651656
12290,169,13.64,54.3745350677331
12291,169,12.8,54.3745350677331
12292,169,12.46,54.3745350677331
12293,160,13.81,53.0828832158492
12294,160,15,53.0828832158492
12295,161,13.48,53.0828832158492
12296,161,13.98,53.0828832158492
12297,161,13.31,53.0828832158492
12298,161,12.97,51.7409468030251
12299,171,13.64,53.6104064817217
12300,163,9.93,53.6104064817217
12301,164,5.06,56.578824507721
12302,108,10.6,55.4886797156303
12303,108,12.63,55.8359815176989
12304,164,8.57,55.4886797156303
12305,164,14.26,56.578824507721
12306,107,25.48,54.3762779080457
12307,107,25.81,54.3762779080457
12308,107,21,54.3762779080457
12309,107,14.26,51.0625020454319
12310,164,14.76,54.3762779080457
12311,164,25.14,51.0624726698388
12312,164,15.27,55.4886797156303
12313,108,21.68,54.1648635276047
12314,108,20.83,55.4886797156303
12315,108,21.17,54.1648635276047
12316,108,20.83,51.9667526891389
12317,173,19.14,55.4886797156303
12318,172,18.8,55.8359815176989
12319,95,13.43,52.7863620530372
12320,95,18.97,52.7863620530372
12321,95,18.63,59.0483297579334
12322,95,18.63,59.0483297579334
12323,95,18.13,52.3992944029271
12324,79,21,55.8359815176989
12325,108,18.46,55.8359815176989
12326,82,18.46,55.4886797156303
